model,feature_type,latent_dim,beta,lr,epochs,n_clusters,clustering,eval_set,silhouette_score,calinski_harabasz_index,davies_bouldin_index,adjusted_rand_index,normalized_mutual_info,cluster_purity
CVAE,mel,32,1.0,0.001,60,10,GMM,labeled_only,0.11838990449905396,3994.777511205486,3.047582559298748,-0.000249801892338022,0.003203996727157469,0.13467646791904891
CVAE,mel,32,1.0,0.001,60,18,KMeans,all,0.428036093711853,85100.75626961494,0.6767842662104359,-0.0006385144180514287,0.0030270792641277954,0.44957290573954745
CVAE,mel,32,1.0,0.001,60,18,KMeans,labeled_only,0.42895933985710144,46286.830960165535,0.6761279968638446,-0.00011954037642796735,0.004801565525992286,0.13767129503584719
CVAE,mel,32,1.0,0.001,60,18,GMM,all,0.07299328595399857,6497.0694276289205,3.456253801412103,-5.8746708282938433e-05,0.0032095476801892687,0.44957290573954745
CVAE,mel,32,1.0,0.001,60,18,GMM,labeled_only,0.07055073231458664,3561.287648096373,3.2550338933544065,6.8093481090813474e-06,0.005023113428917368,0.1418459025319902
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,2,KMeans,all,0.6927191615104675,36425.45806378991,0.5350300259415857,-0.0011244355275646842,0.00027446148276548946,0.44957290573954745
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,2,KMeans,labeled_only,0.692226231098175,19921.941496418385,0.5359740885021654,-0.00023440059866037432,0.0004300896360019074,0.124058444504946
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,2,KMeans,language,0.6927191615104675,36425.45806378991,0.5350300259415857,-2.433017234131627e-05,2.8439401210915466e-06,0.5010240271741845
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,2,GMM,all,0.5745989680290222,25309.839460938045,0.6804118128382868,0.0007585405370692735,0.0002436702975070483,0.44957290573954745
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,2,GMM,labeled_only,0.5718297362327576,13774.182544626081,0.6847145045884097,-3.1903307639527896e-05,0.0003848428440949111,0.1258734912423995
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,2,KMeans,language,0.6927191615104675,36425.45806378991,0.5350300259415857,-2.433017234131627e-05,2.8439401210915466e-06,0.5010240271741845
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,10,KMeans,all,0.4962824285030365,87285.34365214538,0.5587578331752969,-0.0003573593212003123,0.002082109998223846,0.44957290573954745
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,10,KMeans,labeled_only,0.49822568893432617,47226.52889692397,0.5577928261197502,-9.941054162161339e-05,0.003245415019754664,0.13458571558217625
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,10,GMM,all,0.2638223171234131,13164.550346009304,1.7056620007541619,0.0005340064220417432,0.0017550166030151132,0.44957290573954745
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,10,GMM,labeled_only,0.2591802477836609,7241.91865746021,1.7038080103294941,0.00011678125765661529,0.0028518599495252635,0.13503947726653961
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,18,KMeans,all,0.45722365379333496,118548.19306597239,0.6175721512331651,-0.00019260288204309817,0.0031929981760234426,0.44957290573954745
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,18,KMeans,labeled_only,0.4580515921115875,61836.57322463851,0.6266097322778952,-5.937277750625798e-05,0.0051093016514183656,0.13994010345766403
MultiModalVAE,mel+lyrics,16,1.0,0.001,60,18,GMM,all,0.03784150630235672,8324.894356159199,4.554098064954625,0.0007072436421609559,0.0025800898037463527,0.44957290573954745
